           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_03.in         6               4        156                66    20.88              20          20                14         138718          108911         133093           1297968    15.16 
  katomic_04.in         6               8        121                45    23.45              23          23                16         110985           77991         101592            705935    17.78 
  katomic_05.in         9               2        132                52   184.09              27          27                21        1208623         1018560        1182551          15730409   166.87 
  katomic_06.in         9               1        144                50  1123.69              27          27                16       22177054        15266382       20477738         241983859   998.36 
  katomic_07.in        12               8        169                68  3600.47               0          24                19        2746478         2413122        2715949          55386296  3418.31 
  katomic_08.in         7               1        121                61  1540.96              26          26                14       52641262        36054996       47817772         427933867  1319.63 
  katomic_09.in        10               1        169                81  1334.23              32          32                25       19101366        15858250       18669950         304535784  1193.36 
  katomic_10.in         5               8        169                84     6.29              19          19                16            932             725            898              6357     0.15 
  katomic_11.in         8               4        121                71  1047.91              23          23                17        3780555         3252648        3698633          60108294   955.32 
  katomic_12.in        12               8        169                93  3600.49               0          34                29        2862982         2556250        2801817          50909893  3432.80 
  katomic_13.in        12               1        169                87  3600.49               0          41                38       28302320        25600368       28098966         603956758  3324.17 
  katomic_14.in         9               1        169                85  3600.49               0          28                20       59878318        45160257       56373947         741350362  3231.09 
  katomic_15.in        15               1        169                87  3600.39               0          36                33       10834325         9903415       10758944         270832127  3344.95 
  katomic_16.in        15               1        169                69  3600.46               0          43                39       15502006        14181226       15410438         335328929  3428.38 
  katomic_17.in        14               2        143                73  3600.47               0          34                29        6321891         5921088        6289163         155932656  3427.14 
  katomic_18.in        12               4        169                90  3600.48               0          46                44        4132298         4006184        4132297          79204439  3328.56 
  katomic_19.in         8               2        195               103  3600.49               0          31                22       26364017        19908239       25112730         362091080  3259.39 
  katomic_20.in         4              16        169                83     6.42              18          18                13           3668            2404           3171             14438     0.46 
  katomic_21.in        16               1        144                32  3600.46               0          27                21       20031516        17500323       19694955         362046748  3392.20 
  katomic_22.in        14               4        169                90  3600.46               0          32                26        2972731         2579684        2931960          77889239  3453.85 
  katomic_23.in         4              32        169                93    15.07              18          18                 8          28845           16739          23096            119601     7.88 
  katomic_24.in        20              10        195               115  3600.45               0          37                35         397684          387082         397683          16269542  3361.69 
  katomic_25.in        10               1        143                73  3600.49               0          35                30       52634850        43898769       51255663         767298149  3234.99 
  katomic_26.in         7               3        169                81  2013.99              36          36                28       17688484        11713037       15680899         124926807  1849.73 
  katomic_27.in        12               1        169                81  3600.49               0          47                43       36546995        34497593       36391908         783298414  3251.39 
  katomic_28.in        12               1        169                73  3600.49               0          38                33       35976038        30784898       35119242         633720181  3296.01 
  katomic_29.in        15               1        169                71  3600.49               0          58                55       20822333        19982370       20808828         438849231  3377.22 
  katomic_30.in        21               1        169                72  3600.49               0          55                54        8604813         8735218        8604812         263391165  3451.01 
  katomic_31.in         8               2        121                54   505.51              29          29                20        4428661         3215653        4160224          51807623   453.36 
  katomic_32.in         9               5         81                25    26.18              19          19                15          65012           58315          64464            846699    21.06 
  katomic_33.in        10               4        169                72  3600.49               0          48                41        9500087         7562780        9022198         126917006  3385.63 
  katomic_34.in        13               1        169                96  3600.49               0          37                32       25474529        25921440       25203715         665900629  3294.41 
  katomic_35.in        10               1         99                47  3600.44               0          35                27       59803688        48146287       56939863         736745638  3258.98 
  katomic_36.in         3              21        143                52     3.96               9           9                 4            398             272            357              2080     0.08 
  katomic_37.in        24               1        225               134  3600.49               0          56                53        4206397         4231158        4197857         202512165  3479.67 
  katomic_38.in         9               1        169                89  3600.45               0          34                24       72374951        52583974       67462767         834556137  3185.02 
  katomic_39.in        17               1        169                77  3600.49               0          49                45       16965294        15947193       16883634         442994180  3390.39 
  katomic_40.in        16               1        121                61  3600.48               0          59                53       20334583        17685648       19929705         418876196  3381.26 
  katomic_41.in        15               4        169                81  3600.49               0          34                30        3143182         2866744        3124494          82949898  3422.12 
  katomic_42.in        12               1        121                51  3600.48               0          34                29       30430823        25719950       29782106         503703474  3288.94 
  katomic_43.in        26               1        169                86  3600.48               0          65                64        4381367         4671082        4381366         202704588  3479.93 
  katomic_44.in        21               1        156                65  3600.49               0          52                50        7630185         7456174        7618739         238010250  3467.41 
  katomic_45.in        14               1        156                63  3600.49               0          41                38       22892286        21574883       22854799         559977139  3363.03 
  katomic_46.in         7               3        143                53    15.82              24          24                19          97714           75731          92316            853496    11.42 
  katomic_47.in        11               1        121                60    16.88              29          29                27          90038           86766          89869           2104144    10.16 
  katomic_48.in        17               1        169                79  3600.49               0          59                56       10081022         9891548       10076269         284816143  3457.58 
  katomic_49.in        18               1        143                71  3600.48               0          46                43       15262239        14170238       15195441         411082373  3367.60 
  katomic_50.in        17               2        121                61  3600.48               0          43                37        6676050         6116104        6628248         138158728  3400.01 
  katomic_51.in        16               1        169                82  3600.41               0          40                36       14510629        13424594       14426783         334518638  3419.20 
  katomic_52.in        19               1        169                84  3600.44               0          54                52       10939027        10649714       10926377         315415082  3426.29 
  katomic_53.in        16               2         63                35  3600.46               0          26                21        4253775         3891176        4218567         117816908  3422.93 
  katomic_54.in        16               1        169                81  3600.49               0          36                31       19619565        17841086       19480135         492727738  3372.39 
  katomic_55.in        15               1        169                83  3600.48               0          48                44       21221214        19749121       21076381         480903574  3357.33 
  katomic_56.in        15               1        169                79  3600.46               0          50                45       21834466        20157821       21727732         504602807  3361.53 
  katomic_57.in         5               3        132                45     5.61              21          21                16          28758           20720          26727            175518     1.58 
  katomic_58.in         6               3        121                60     6.43              17          17                14           4271            3643           4219             45331     0.40 
  katomic_59.in        16               4        121                49  3600.42               0          26                22        2733718         2567443        2720550          89843547  3445.68 
  katomic_60.in         7               4        121                54     9.46              19          19                15          34316           28182          33421            374881     5.49 
  katomic_61.in        10               2        117                58  3600.38               0          53                49       20547808        17450455       20097876         262013096  3343.28 
  katomic_62.in        12               1        225                96  3600.38               0          51                46       35844204        32630164       35452699         648573802  3300.11 
  katomic_63.in        12               2        143                70  3600.28               0          40                33       14342671        11788483       13721278         204150758  3381.71 
  katomic_64.in        16               2        195                98  3600.48               0          54                51        7075106         6826126        7045378         165414436  3386.70 
  katomic_65.in        17               1         81                25  3600.48               0          31                26       27378203        22989331       26806568         378082419  3396.00 
  katomic_66.in        11               1        169                78  3600.40               0          32                26       34700481        29511740       34027824         656872469  3298.68 
  katomic_67.in        12               2        121                54  3600.48               0          31                25       14356322        12329792       14070746         219213263  3361.36 
  marbles_01.in         4               2         64                21     3.20              11          11                 6            927             593            780              3732     0.01 
  marbles_02.in         5               5         90                38     4.99              15          15                10          13244           10041          12460             90812     1.41 
  marbles_03.in         4               5         99                39     5.50              22          22                10          66905           34430          46696            179925     1.76 
  marbles_04.in         3              18        100                49     4.45              22          22                 5           3986            1916           2565              8287     0.30 
  marbles_05.in         5               2         81                34     5.48              25          25                14          67144           38603          52856            261070     1.57 
  marbles_06.in         5               3        120                41     6.12              14          14                12            938             817            907              6507     0.06 
  marbles_08.in         6               3        100                48   174.67              23          23                12        3130164         2001315        2612711          15518647   148.21 
  marbles_10.in        16               1         48                20     4.72              24          24                16          18227           13971          17250            114286     1.12 
  marbles_11.in         8               1        169                59   851.66              28          28                19       24634361        17009429       22669021         200971732   696.00 
  marbles_12.in         6               3         84                40   963.41              28          28                13       17433828         9260508       13746974          82162493   835.40 
  marbles_13.in         3               3         64                27     3.97              18          18                 6           6583            3301           3768             11264     0.06 
  marbles_14.in         6               1        110                27     3.35              22          22                16          34965           20982          27870            118049     0.21 
  marbles_15.in        12               1        169                62  3600.49               0          36                31       14863910        13420351       14603085         256613005  3082.51 
  marbles_20.in        32               1         64                36  3600.49               0          36                28       11116499         8383776       10492103          85817072  3068.66 
 unitopia_01.in         3              41        128                68     6.34              11          11                 9             97              80             87               421     0.03 
 unitopia_02.in         4               5        128                62     6.81              22          22                14          72228           43771          58690            282638     2.63 
 unitopia_03.in         5              12        128                56     6.42              16          16                14           1465            1274           1442             11305     0.40 
 unitopia_04.in         6               5        128                59     6.61              20          20                19           3555            3161           3546             31807     0.51 
 unitopia_05.in         6               7        128                68    50.73              20          20                13         222522          161448         208449           1954750    42.33 
 unitopia_06.in         9               2        128                61  3600.34               0          30                24       21745868        19015520       21104928         298702840  3310.69 
 unitopia_07.in        10               1        128                60  3600.41               0          35                27       62489965        49387960       60220459         777280291  3205.62 
 unitopia_08.in         7               4        128                59   122.26              23          23                17         715491          558101         682342           7297252   108.01 
 unitopia_09.in        12               2        128                60  3600.46               0          43                39       15380599        13413690       15205381         224885942  3353.75 
 unitopia_10.in         8               2        128                57  3600.43               0          39                29       43882544        30885863       40296032         365271988  3254.75 
