           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_03.in         6               4        156                66     4.68              20          20                14         380923          295608         363641           3518801     0.00 
  katomic_04.in         6               8        121                45     4.52              23          23                14         347123          222488         308558           2139075     0.00 
  katomic_05.in         9               2        132                52    92.18              27          27                19       24735585        19668045       23900791         299319979     0.00 
  katomic_06.in         9               1        144                50   217.72              27          27                15       56420692        38992248       52178944                 0     0.00 
  katomic_07.in        12               8        169                68   666.83              24          24                18       51468314        43484078       50485378         964310176     0.00 
  katomic_08.in         7               1        121                61   455.02              26          26                13      178356187       119388268      159897483                 0     0.00 
  katomic_09.in        10               1        169                81   544.93              32          32                24      126692571       102812816      123162210                 0     0.00 
  katomic_10.in         5               8        169                84     6.43              19          19                15           8908            6783           8400             52610     0.00 
  katomic_11.in         8               4        121                71   117.25              23          23                15       25010606        19944847       24178129         360047436     0.00 
  katomic_12.in        12               8        169                93  3600.48               0          36                28      322297481       255228950      309070768        4849269490     0.00 
  katomic_13.in        12               1        169                87  2609.48               0          42                38      352759049       308404655      348754338                 0     0.00 
  katomic_14.in         9               1        169                85  1615.61               0          28                19      402988204       308404667      377495992                 0     0.00 
  katomic_15.in        15               1        169                87  3601.87               0          36                31      157826403       144260987      156604600                 0     0.00 
  katomic_16.in        15               1        169                69  2271.98               0          43                38      305609044       275940990      301815007                 0     0.00 
  katomic_17.in        14               2        143                73  3161.04               0          32                26      312876663       275940994      309420921        7495231078     0.00 
  katomic_18.in        12               4        169                90  3600.15               0          47                44      114057630       110099007      114031804        2128447277     0.00 
  katomic_19.in         8               2        195               103   507.43              32          32                22      120375718        88988677      113915672        1552526154     0.00 
  katomic_20.in         4              16        169                83     6.23              18          18                13           4311            2822           3716             17107     0.00 
  katomic_21.in        16               1        144                32  3257.08               0          26                20      322559766       275940986      316120281                 0     0.00 
  katomic_22.in        14               4        169                90  3600.42               0          32                25      289777424       252888593      283482783        6969107133     0.00 
  katomic_23.in         4              32        169                93     3.41              18          18                 8          29593           17158          23717            122968     0.00 
  katomic_24.in        20              10        195               115  3600.48               0          36                33       10529706        10119720       10502489         406516573     0.00 
  katomic_25.in        10               1        143                73  1710.40               0          35                28      387017526       308404663      373209207                 0     0.00 
  katomic_26.in         7               3        169                81   271.47              36          36                26      102965059        64259498       89755331         701418048     0.00 
  katomic_27.in        12               1        169                81  2275.89               0          47                43      336545725       308404655      334907316                 0     0.00 
  katomic_28.in        12               1        169                73  2215.46               0          37                31      372296941       308404655      362218283                 0     0.00 
  katomic_29.in        15               1        169                71  2051.24               0          57                54      289485221       275940990      289205791                 0     0.00 
  katomic_30.in        21               1        169                72  3601.21               0          52                49      183366852       173170811      183125415                 0     0.00 
  katomic_31.in         8               2        121                54   172.00              29          29                16       50692462        34569410       46587932         546790389     0.00 
  katomic_32.in         9               5         81                25     4.70              19          19                13         394139          331836         386215           4894543     0.00 
  katomic_33.in        10               4        169                72  2306.29               0          50                38      400915701       308404663      366980175        4721250570     0.00 
  katomic_34.in        13               1        169                96  2994.74               0          37                30      318542494       275940998      313844207                 0     0.00 
  katomic_35.in        10               1         99                47  1614.26               0          33                24      395561585       308404663      367465077                 0     0.00 
  katomic_36.in         3              21        143                52     6.56               9           9                 4            523             363            469              2734     0.00 
  katomic_37.in        24               1        225               134  3602.09               0          55                51      111467122       108149796      111371713                 0     0.00 
  katomic_38.in         9               1        169                89  1816.71               0          34                22      414020502       308404667      380917397                 0     0.00 
  katomic_39.in        17               1        169                77  1972.04               0          47                43      267170663       249660882      266216569                 0     0.00 
  katomic_40.in        16               1        121                61  2909.33               0          57                50      314400705       275940986      305401158                 0     0.00 
  katomic_41.in        15               4        169                81  3600.51               0          35                30      180043890       163079218      178918758        4617105313     0.00 
  katomic_42.in        12               1        121                51  2928.69               0          35                28      365841164       308404655      355589491                 0     0.00 
  katomic_43.in        26               1        169                86  3600.50               0          65                63      128054710       126224777      128054709                 0     0.00 
  katomic_44.in        21               1        156                65  3600.49               0          48                44      221135148       196377647      218756327                 0     0.00 
  katomic_45.in        14               1        156                63  1928.81               0          39                36      296656439       275940994      295718060                 0     0.00 
  katomic_46.in         7               3        143                53     5.16              24          24                19         667444          512504         626815           5603950     0.00 
  katomic_47.in        11               1        121                60    16.40              29          29                27        2382814         2227782        2377563                 0     0.00 
  katomic_48.in        17               1        169                79  2848.36               0          57                53      264265540       249660882      263769881                 0     0.00 
  katomic_49.in        18               1        143                71  3501.00               0          46                41      268962238       249660878      267873334                 0     0.00 
  katomic_50.in        17               2        121                61  3600.42               0          42                35      240551465       217742164      238854228        4982243435     0.00 
  katomic_51.in        16               1        169                82  2967.90               0          40                35      301749088       275940986      299486118                 0     0.00 
  katomic_52.in        19               1        169                84  3600.50               0          53                51      221856536       214809504      221751919                 0     0.00 
  katomic_53.in        16               2         63                35  3600.38               0          26                20      230752810       208330670      225855635        5480256813     0.00 
  katomic_54.in        16               1        169                81  2304.51               0          36                30      303378051       275940986      301331745                 0     0.00 
  katomic_55.in        15               1        169                83  2994.35               0          48                43      301169275       275940990      299591836                 0     0.00 
  katomic_56.in        15               1        169                79  3020.39               0          49                44      300091298       275940990      298510355                 0     0.00 
  katomic_57.in         5               3        132                45     3.77              21          21                16          49589           35861          45966            297391     0.00 
  katomic_58.in         6               3        121                60     3.72              17          17                13          30195           23743          29211            299497     0.00 
  katomic_59.in        16               4        121                49  3600.16               0          27                22      298367126       270211634      296247695        9470676384     0.00 
  katomic_60.in         7               4        121                54     3.54              19          19                15          42353           35235          41335            465826     0.00 
  katomic_61.in        10               2        117                58  1743.48               0          54                48      398140154       308404663      381696155        4687357468     0.00 
  katomic_62.in        12               1        225                96  2245.81               0          52                46      342168028       308404655      338635109                 0     0.00 
