           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_03.in         6               4        156                66     7.69              20          20                14         209052          160441         199875           1980096     0.89 
  katomic_04.in         6               8        121                45     6.31              23          23                15         141657           95544         128790            916996     0.85 
  katomic_05.in         9               2        132                52    17.31              27          27                21        1452605         1219776        1423701          19101747     5.00 
  katomic_06.in         9               1        144                50   176.40              27          27                15       28745266        19594910       26471341         318902374    38.31 
  katomic_07.in        12               8        169                68   470.13              24          24                18        8062379         7013320        7975468         160650747   225.26 
  katomic_08.in         7               1        121                61   186.46              26          26                14       40741712        28158153       37514306         345460539    37.96 
  katomic_09.in        10               1        169                81   256.62              32          32                24       31302903        25629401       30520293         512055123    65.76 
  katomic_10.in         5               8        169                84     8.02              19          19                16            949             756            919              6728     0.01 
  katomic_11.in         8               4        121                71    95.79              23          23                17        5047568         4370369        4920115          78708040    40.70 
  katomic_12.in        12               8        169                93  3600.48               0          36                28       81206123        71368872       78446108        1316263386  1733.06 
  katomic_13.in        12               1        169                87  3600.47               0          42                38      299023621       262350780      295760082        6184613862   881.62 
  katomic_14.in         9               1        169                85   561.99              29          29                20       84231438        61439922       79658622        1041948066   124.62 
  katomic_15.in        15               1        169                87  3600.51               0          36                31      134077520       120194558      133260570        3325510492   632.37 
  katomic_16.in        15               1        169                69  3600.51               0          44                39      242064232       219276110      240804741        5483054666   994.22 
  katomic_17.in        14               2        143                73  3600.50               0          34                27      150908757       133367677      149842697        3584392956  1443.70 
  katomic_18.in        12               4        169                90  1424.54              47          47                44       25314991        24457882       25309968         501333688   321.30 
  katomic_19.in         8               2        195               103  1000.79              32          32                22      100653060        74185536       95210837        1348393943   336.22 
  katomic_20.in         4              16        169                83    12.06              18          18                13           3844            2497           3331             16595     0.03 
  katomic_21.in        16               1        144                32  3600.49               0          27                20      252517457       210113698      248305982        4545412653   933.14 
  katomic_22.in        14               4        169                90  3600.48               0          32                26       84126138        72603252       83446979        2083137974  1822.19 
  katomic_23.in         4              32        169                93    32.67              18          18                 8          24945           13969          20148            105002     0.43 
  katomic_24.in        20              10        195               115  3600.49               0          36                33        7808649         7458952        7796100         306442765   511.78 
  katomic_25.in        10               1        143                73  2791.33               0          36                29      331556562       274094143      322846783        4860940990   644.96 
  katomic_26.in         7               3        169                81   180.38              36          36                27       23431222        15110438       20963836         177964082    65.44 
  katomic_27.in        12               1        169                81  3600.51               0          48                43      296899243       271584159      295256398        6271175970   892.45 
  katomic_28.in        12               1        169                73  3504.09               0          38                32      326691408       272130363      318228400        5948943169   848.61 
  katomic_29.in        15               1        169                71  3540.90               0          57                54      260711091       245523625      260236558        5489963146   970.23 
  katomic_30.in        21               1        169                72  3600.51               0          53                51      122482498       117303253      122406611        3775638317   954.93 
  katomic_31.in         8               2        121                54    40.04              29          29                20        4529689         3296614        4251785          53984481    12.68 
  katomic_32.in         9               5         81                25     5.34              19          19                14         101085           87778          99850           1310432     0.89 
  katomic_33.in        10               4        169                72  3600.50               0          52                43      204451200       153827592      201278566        2582015054  1518.57 
  katomic_34.in        13               1        169                96  3600.49               0          38                32      224385328       213298604      222190881        5831039851   925.25 
