           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_03.in         6               4        156                66    12.92              20          20                14         232743          180015         221662           2122876     7.83 
  katomic_04.in         6               8        121                45    10.43              23          23                14         257231          168450         229547           1608035     5.44 
  katomic_05.in         9               2        132                52   319.48              27          27                20        3612481         2965178        3510056          44908792   285.52 
  katomic_06.in         9               1        144                50  1107.75              27          27                16       22177054        15266382       20477738         241983859   982.31 
  katomic_07.in        12               8        169                68  2835.72              24          24                18       15350552        13114035       15062459         303879364  2485.62 
  katomic_08.in         7               1        121                61  1821.39              26          26                14       52641262        36054996       47817772         427933867  1570.63 
  katomic_09.in        10               1        169                81  1548.18              32          32                25       19101366        15858250       18669950         304535784  1388.64 
  katomic_10.in         5               8        169                84     6.04              19          19                16            932             725            898              6357     0.02 
  katomic_11.in         8               4        121                71   919.90              23          23                15       11411727         9858316       11045151         179346477   801.48 
  katomic_12.in        12               8        169                93  3600.48               0          35                28       23537880        19084360       22754057         380484138  3159.03 
  katomic_13.in        12               1        169                87  3600.30               0          41                38       24309672        22135133       24144955         521232560  3319.41 
  katomic_14.in         9               1        169                85  3600.51               0          28                20       63547868        47894930       59803762         783725167  3222.30 
  katomic_15.in        15               1        169                87  3600.33               0          36                33        9482595         8680889        9416967         238233705  3328.25 
  katomic_16.in        15               1        169                69  3600.38               0          43                39       13438817        12310646       13369763         292440497  3423.55 
  katomic_17.in        14               2        143                73  3600.48               0          32                27       11849716        11586308       11718765         287119376  3362.72 
  katomic_18.in        12               4        169                90  3600.31               0          46                44       14423826        13872529       14423811         276576189  2836.32 
  katomic_19.in         8               2        195               103  3600.48               0          31                22       51493686        41402695       48755756         702185959  3148.35 
  katomic_20.in         4              16        169                83     3.45              18          18                13           4094            2663           3523             16157     0.03 
  katomic_21.in        16               1        144                32  3600.42               0          27                21       20166518        17622615       19826101         364220698  3387.77 
  katomic_22.in        14               4        169                90  3600.44               0          31                25       11129777        10073066       10933995         288844052  3332.30 
  katomic_23.in         4              32        169                93     4.41              18          18                 8          29421           17046          23559            122020     0.26 
  katomic_24.in        20              10        195               115  3600.48               0          36                33        2970668         2815549        2962110         117376188  2451.64 
  katomic_25.in        10               1        143                73  3600.48               0          35                30       51746940        43238858       50398051         755937617  3234.41 
  katomic_26.in         7               3        169                81  1556.59              36          36                26       36627439        23712155       32045354         258597734  1346.64 
  katomic_27.in        12               1        169                81  3600.47               0          47                43       36151458        34146972       35998303         774949925  3247.29 
  katomic_28.in        12               1        169                73  3600.37               0          38                33       30620053        25934790       29948938         543346717  3299.47 
  katomic_29.in        15               1        169                71  3600.43               0          58                55       20776404        19938718       20762899         437847066  3385.61 
  katomic_30.in        21               1        169                72  3600.35               0          55                54        7453383         7671463        7453382         227503487  3449.02 
  katomic_31.in         8               2        121                54   563.11              29          29                19        9465036         6670671        8786803         106761595   484.60 
  katomic_32.in         9               5         81                25    22.62              19          19                13         169336          143305         165360           2077186    16.63 
  katomic_33.in        10               4        169                72  3600.38               0          49                40       37614941        31850963       35376522         474221886  3211.55 
  katomic_34.in        13               1        169                96  3600.42               0          37                32       25416177        25866264       25145448         664529157  3295.45 
  katomic_35.in        10               1         99                47  3600.34               0          35                27       52173020        41318981       49869830         644645729  3266.02 
  katomic_36.in         3              21        143                52     6.04               9           9                 4            473             324            424              2482     0.01 
  katomic_37.in        24               1        225               134  3600.44               0          56                53        3876152         3901358        3867615         187099985  3475.47 
