           Name   NumAtoms  NumFinalStates  BoardSize  NumFreePositions         Time  SolutionLength  LowerBound  NodesGenerated  NodesExpanded
  katomic_28.in        12               1        169                73    784.01370               0          37      6656414564      260037191
  katomic_29.in        15               1        169                71    277.84180               0          57      2092923197       81623958
  katomic_30.in        21               1        169                72    609.24720               0          52      3466194583       92549019
  katomic_31.in         8               2        121                54    219.54822              29          29      2548670447      143112488
  katomic_32.in         9               5         81                25      7.77297              19          19        13502746         833607
  katomic_33.in        10               4        169                72   1805.55206               0          51     14788306520      730350581
  katomic_34.in        13               1        169                96    967.79895               0          37     10962346406      343225470
  katomic_35.in        10               1         99                47    887.58114               0          33      6893441092      356444661
  katomic_36.in         3              21        143                52     25.24249               9           9           20087           2524
  katomic_37.in        24               1        225               134    652.99245               0          55      2656543752       49372850
  katomic_38.in         9               1        169                89   1482.31118               0          35     13100163541      695344274
  katomic_39.in        17               1        169                77    349.26629               0          47      3067905946       98107009
  katomic_40.in        16               1        121                61    828.02794               0          57      6949838534      256993195
  katomic_41.in        15               4        169                81    590.87554               0          35      5781837622      176375660
  katomic_42.in        12               1        121                51   2862.95077               0          35      6910391733      298757502
  katomic_43.in        26               1        169                86   1042.83177               0          65      3693543453       74784645
  katomic_44.in        21               1        156                65   1652.57599               0          49     10376643909      291062664
  katomic_45.in        14               1        156                63   1090.10077               0          40     11011435257      372761653
  katomic_46.in         7               3        143                53      6.78949              24          24        33219571        2294027
  katomic_47.in        11               1        121                60      5.48930              29          29        66112983        2594709
  katomic_48.in        17               1        169                79    841.56514               0          57      8110139435      242544491
  katomic_49.in        18               1        143                71   1550.30005               0          46      6847784704      211868120
  katomic_50.in        17               2        121                61    987.41988               0          43      9408050721      373131444
  katomic_51.in        16               1        169                82    488.02102               0          40      3934110018      129871430
  katomic_52.in        19               1        169                84   1107.89597               0          54     10115130518      280086618
  katomic_53.in        16               2         63                35   2299.22015               0          26      5616216959      178679915
  katomic_54.in        16               1        169                81    641.96949               0          36      6275824664      201850070
  katomic_55.in        15               1        169                83    552.71260               0          48      4615383221      153724703
  katomic_56.in        15               1        169                79    965.20588               0          50      9904855711      340745437
  katomic_57.in         5               3        132                45      4.87781              21          21         1845019         179752
  katomic_58.in         6               3        121                60      2.88495              17          17         1677843         116629
  katomic_59.in        16               4        121                49    697.45812               0          28      7447637974      199721079
  katomic_60.in         7               4        121                54      5.95283              19          19         3256608         211552
  katomic_61.in        10               2        117                58   1587.20158               0          55     14876963265      740950664
  katomic_62.in        12               1        225                96    975.67726               0          52      9822572211      403124267
  katomic_63.in        12               2        143                70    720.52019               0          42      5765651312      278431626
  katomic_64.in        16               2        195                98    468.97014               0          54      3844840368      130022004
  katomic_65.in        17               1         81                25    585.27751               0          32      4616979971      254016084
  katomic_66.in        11               1        169                78   1353.97641               0          33     12686102793      516544928
  katomic_67.in        12               2        121                54   1428.72055               0          32     13294672728      602071914
  marbles_01.in         4               2         64                21      4.18610              11          11           20055           2742
  marbles_02.in         5               5         90                38      9.81897              15          15         1852299         171558
  marbles_03.in         4               5         99                39     22.63687              22          22         2543893         305224
  marbles_04.in         3              18        100                49    109.27816              22          22          792173         130733
  marbles_05.in         5               2         81                34      7.89644              25          25         2085803         235820
  marbles_06.in         5               3        120                41      2.09831              14          14           26913           2842
  marbles_08.in         6               3        100                48     29.90173              23          23       172483303       15624411
  marbles_10.in        16               1         48                20    631.02545              24          24          827471          88305
  marbles_11.in         8               1        169                59    541.16844              28          28      1350078750       88325861
  marbles_12.in         6               3         84                40    126.68766              28          28       949468141       72805973
  marbles_13.in         3               3         64                27     15.91688              18          18          248452          42481
  marbles_14.in         6               1        110                27      2.48413              22          22          495355          61353
  marbles_15.in        12               1        169                62   3600.64810               0          35         4679053         199083
  marbles_20.in        32               1         64                36  13249.34569               0           0               0              0
 unitopia_01.in         3              41        128                68     17.12859              11          11           11105           1624
 unitopia_02.in         4               5        128                62     11.18269              22          22         1624837         191058
 unitopia_03.in         5              12        128                56     10.35852              16          16          129141          12195
 unitopia_04.in         6               5        128                59      3.46117              20          20          560204          44442
 unitopia_05.in         6               7        128                68     10.62478              20          20        13070172         940639
 unitopia_06.in         9               2        128                61    581.88191              31          31      6536324737      328569610
 unitopia_07.in        10               1        128                60    679.67360               0          35      5132096935      257645972
 unitopia_08.in         7               4        128                59     15.45315              23          23       101695647        6506879
 unitopia_09.in        12               2        128                60   1771.51228               0          44      6165498833      288781795
 unitopia_10.in         8               2        128                57   2123.01494               0          41     16351794758     1031505093
