           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_03.in         6               4        156                66     7.83              20          20                14         209052          160441         199880           1989808     0.91 
  katomic_04.in         6               8        121                45     6.31              23          23                15         141590           95342         129043            935143     0.87 
  katomic_05.in         9               2        132                52    17.45              27          27                21        1452770         1219878        1423925          19167558     5.05 
  katomic_06.in         9               1        144                50   176.19              27          27                15       28746722        19594910       26473610         324668729    39.23 
  katomic_07.in        12               8        169                68   466.38              24          24                18        7951730         6904635        7869257         160143134   223.91 
  katomic_08.in         7               1        121                61   184.84              26          26                14       40764691        28164056       37544482         348410133    38.17 
  katomic_09.in        10               1        169                81   257.01              32          32                24       31302907        25629386       30520379         512894277    66.43 
  katomic_10.in         5               8        169                84     8.24              19          19                16            950             755            920              6737     0.01 
  katomic_11.in         8               4        121                71    72.91              23          23                17        3642747         3015252        3561221          58130602    30.53 
  katomic_12.in        12               8        169                93  3600.22               0          36                28       78479059        63295249       76423397        1303037942  1742.37 
  katomic_13.in        12               1        169                87  3600.51               0          42                38      298535094       260415007      295873892        6224838160   890.45 
  katomic_14.in         9               1        169                85   562.50              29          29                20       84233249        61438496       79670263        1054934984   125.67 
  katomic_15.in        15               1        169                87  3600.22               0          36                31      130168837       116304962      129524041        3248076784   635.74 
  katomic_16.in        15               1        169                69  3600.22               0          44                39      241905313       215792006      240945275        5533256967  1002.89 
  katomic_17.in        14               2        143                73  3600.22               0          34                27      148066057       130404535      147066908        3549177625  1461.02 
  katomic_18.in        12               4        169                90  1457.72              47          47                44       25314434        24457651       25309456         501483313   325.03 
  katomic_19.in         8               2        195               103  1015.92              32          32                22      100653183        74185536       95212684        1377414003   345.60 
  katomic_20.in         4              16        169                83    12.33              18          18                13           3842            2494           3332             16768     0.03 
  katomic_21.in        16               1        144                32  3600.24               0          27                20      249447841       206853805      245649862        4514747515   963.48 
  katomic_22.in        14               4        169                90  3600.22               0          32                26       82338301        69448744       81903892        2074088016  1821.26 
  katomic_23.in         4              32        169                93    32.68              18          18                 8          24306           13269          19688            104588     0.42 
  katomic_24.in        20              10        195               115  3600.21               0          36                33        7600502         7162303        7593320         298034848   505.98 
  katomic_25.in        10               1        143                73  2842.15               0          36                29      337401338       274094143      329784342        5049012097   672.89 
  katomic_26.in         7               3        169                81   180.70              36          36                27       23433725        15110435       20972760         179508496    66.06 
  katomic_27.in        12               1        169                81  3600.22               0          48                43      291499208       265013879      289964031        6176090996   929.71 
  katomic_28.in        12               1        169                73  3600.50               0          38                32      333564938       271772932      326213801        6184632265   873.49 
  katomic_29.in        15               1        169                71  3550.87               0          57                54      260707144       245523625      260291556        5482841517   984.25 
  katomic_30.in        21               1        169                72  3600.51               0          53                51      122332786       116914343      122302529        3834085787   966.53 
  katomic_31.in         8               2        121                54    38.67              29          29                20        4370027         3160311        4104480          53131196    12.32 
  katomic_32.in         9               5         81                25     5.33              19          19                14          98931           85411          97754           1288890     0.88 
  katomic_33.in        10               4        169                72  3600.22               0          52                43      201705725       144608489      198951438        2634783949  1530.28 
  katomic_34.in        13               1        169                96  3600.22               0          38                32      223229722       200034585      221884050        5925818357   941.22 
  katomic_35.in        10               1         99                47  2591.82               0          35                28      373876756       275328190      356537945        4688268065   568.61 
  katomic_36.in         3              21        143                52     6.97               9           9                 4            403             271            366              2150     0.01 
  katomic_37.in        24               1        225               134  3600.23               0          56                52       76025035        73375522       76009130        3672545471   974.73 
  katomic_38.in         9               1        169                89  2564.73               0          35                22      381604853       272892503      359404770        4720885634   585.69 
  katomic_39.in        17               1        169                77  3600.24               0          48                43      222489964       205796244      221843125        5906682315  1187.84 
  katomic_40.in        16               1        121                61  3600.48               0          59                52      232565734       194089065      228404245        4726640607   851.39 
  katomic_41.in        15               4        169                81  3600.49               0          35                30       69778191        62324939       69334830        1859104075  1538.25 
  katomic_42.in        12               1        121                51  3600.23               0          36                29      288011023       235270138      281104867        4745995163   688.47 
  katomic_43.in        26               1        169                86  3600.23               0          65                63       77210060        75795183       77210009        3298334702   980.69 
  katomic_44.in        21               1        156                65  3600.45               0          51                47      127228165       114767334      126551890        3839691008   955.17 
  katomic_45.in        14               1        156                63  3592.81               0          41                37      270218891       246949168      269244582        6538690545  1088.30 
  katomic_46.in         7               3        143                53     5.37              24          24                19         153807          119401         146639           1449557     0.49 
  katomic_47.in        11               1        121                60     5.58              29          29                27          37706           35836          37704            898683     0.12 
  katomic_48.in        17               1        169                79  3600.22               0          58                54      175303765       165828669      175131739        5085007098  1085.59 
  katomic_49.in        18               1        143                71  3600.50               0          47                42      160967943       148749683      160539599        4604383003   906.51 
  katomic_50.in        17               2        121                61  3600.22               0          43                36      115157650       102925798      114467525        2701340431  1184.50 
  katomic_51.in        16               1        169                82  3600.49               0          40                35      212800020       190594716      212246729        5306712781  1073.94 
  katomic_52.in        19               1        169                84  3600.23               0          55                52      134151186       128860121      134087660        4108162641   902.48 
  katomic_53.in        16               2         63                35  3600.22               0          27                20      109989716        94486985      109381527        2820548575  1282.11 
  katomic_54.in        16               1        169                81  3600.49               0          37                31      235749057       213394889      234496581        6150882703  1160.51 
  katomic_55.in        15               1        169                83  3600.23               0          49                44      215206362       195948919      214202202        5039342203   895.74 
  katomic_56.in        15               1        169                79  3600.52               0          51                45      211088032       192185302      209999545        4962308005   850.15 
  katomic_57.in         5               3        132                45     3.48              21          21                16          27805           19896          26030            180091     0.05 
  katomic_58.in         6               3        121                60     4.71              17          17                13          14991           11759          14491            157280     0.05 
  katomic_59.in        16               4        121                49  3600.22               0          27                22       72232027        64740668       71635529        2309896755  1951.19 
  katomic_60.in         7               4        121                54     4.97              19          19                15          32437           26543          31583            365122     0.17 
  katomic_61.in        10               2        117                58  3600.23               0          55                48      351743996       267520006      339651623        4508294081  1201.86 
  katomic_62.in        12               1        225                96  3309.57               0          52                46      301675258       266948403      299044346        5655157932   818.89 
  katomic_63.in        12               2        143                70  3600.49               0          42                33      276220194       213363939      266149547        4115089557  1246.43 
  katomic_64.in        16               2        195                98  3600.24               0          54                50      128327685       119096968      128020071        3101643393  1361.19 
  katomic_65.in        17               1         81                25   415.45              32          32                26       46305905        38954724       45389812         651654144   124.73 
  katomic_66.in        11               1        169                78  3592.77               0          33                26      329928025       272892495      324164903        6332584287   896.35 
  katomic_67.in        12               2        121                54  3600.22               0          33                25      247603642       206328894      242595430        3996568882  1205.61 
  marbles_01.in         4               2         64                21     3.87              11          11                 7            570             364            493              2388     0.00 
  marbles_02.in         5               5         90                38     3.69              15          15                10          12238            9281          11535             87568     0.04 
