           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_04.in         6               8        121                45    49.04              23          23                15         510205          572025              0           3072096     0.31 
  katomic_05.in         9               2        132                52    34.06              27          27                21        5069822         8032762           1071          57926164     6.10 
  katomic_06.in         9               1        144                50   237.79              27          27                15       49395215        82900304            721         442010484    47.94 
  katomic_07.in        12               8        169                68   319.52              24          24                18       31392143        48770059           3541         573306024    76.79 
  katomic_08.in         7               1        121                61   267.42              26          26                14       70301909       117240594          17335         457697556    47.34 
  katomic_09.in        10               1        169                81   355.61              32          32                24       57060295       146591437          10110         719785047    81.66 
  katomic_10.in         5               8        169                84    20.41              19          19                16           1756            3190              0             11050     0.00 
  katomic_11.in         8               4        121                71   107.57              23          23                17       15945347        20507617              0         224188043    21.82 
  katomic_12.in        12               8        169                93  3091.94               0          37                28      399678896       626427014          12553        5640083688   738.41 
  katomic_13.in        12               1        169                87  1106.91               0          42                38      125003629       383185680            172        2217911720   283.22 
  katomic_14.in         9               1        169                85   786.06              29          29                20      147216097       281341888           6703        1405069311   154.04 
  katomic_15.in        15               1        169                87  3600.55               0          36                31      193447090       228421553          19978        4355327260   766.97 
  katomic_16.in        15               1        169                69  1387.81               0          44                39      126880868       363220108         118570        2483767047   406.36 
  katomic_17.in        14               2        143                73  2004.81               0          34                27      175648311       408879139         207783        3662555277   597.95 
  katomic_18.in        12               4        169                90   513.25              47          47                44       43583545       169508913          39090         757999572    97.54 
  katomic_19.in         8               2        195               103   831.41               0          32                22      136869398       282189637            208        1546474326   188.72 
  katomic_20.in         4              16        169                83    60.11              18          18                13          11202           12780              0             43390     0.00 
  katomic_21.in        16               1        144                32  3374.51               0          28                20      318079403       565673463         159137        5134877870   942.31 
  katomic_22.in        14               4        169                90  2800.46               0          33                26      231170486       453585845           3900        5071761990   835.01 
  katomic_23.in         4              32        169                93   208.24              18          18                 8         246059          249524              0            932493     0.09 
  katomic_24.in        20              10        195               115  1512.00               0          37                33       41951935       225236496          11766        1419510986   181.56 
  katomic_25.in        10               1        143                73   978.34               0          36                29      160014079       402850330            594        1830515245   206.62 
  katomic_26.in         7               3        169                81   221.06              36          36                27       66127950        68740305              0         405747498    38.01 
  katomic_27.in        12               1        169                81  2169.16               0          48                43      246404966       524068650            136        4487738424   570.84 
  katomic_28.in        12               1        169                73  1424.51               0          38                32      181168632       432884482             48        2616899520   336.01 
  katomic_29.in        15               1        169                71  2323.86               0          57                54      223135796       292669846           4047        4264334994   665.52 
  katomic_30.in        21               1        169                72  3600.53               0          53                51      185732019       204223302          62177        5120739611  1171.84 
  katomic_31.in         8               2        121                54    75.53              29          29                20       14242229        14784806              0         149498519    14.47 
  katomic_32.in         9               5         81                25    16.13              19          19                14          94545          111081              0           1157660     0.12 
  katomic_33.in        10               4        169                72  1612.41               0          65                43      278285173       483991401        1281645        2784372176   328.52 
  katomic_34.in        13               1        169                96  1348.93               0          38                32      118617589       365152456              5        2713649175   389.72 
  katomic_35.in        10               1         99                47  1208.17               0          35                28      231667835       466365827              0        2350083809   262.57 
  katomic_36.in         3              21        143                52    69.87               9           9                 4           1945            1983              0             11839     0.00 
  katomic_37.in        24               1        225               134  1110.98               0          56                52       35652530       238378137             16        1503658876   343.29 
  katomic_38.in         9               1        169                89  1369.87               0          35                22      266722879       506395087              5        2579876635   271.74 
  katomic_39.in        17               1        169                77   759.14               0          48                43       62466424       283523464              0        1383958864   249.38 
  katomic_40.in        16               1        121                61  1867.52               0          59                52      188160767       432021368         353031        3206612518   508.49 
  katomic_41.in        15               4        169                81  3600.55               0          35                30      270415798       332367642           1529        6340093730  1027.17 
  katomic_42.in        12               1        121                51  2452.58               0          36                29      282557736       555978162          10117        3907243537   505.13 
  katomic_43.in        26               1        169                86  1822.77               0          65                63       63302133       257784016              0        2553565718   665.62 
  katomic_44.in        21               1        156                65  1873.93               0          51                47       97505566       253134918              0        2580230927   587.93 
  katomic_45.in        14               1        156                63  1249.98               0          41                37      118764481       362232465              0        2563954499   404.16 
  katomic_46.in         7               3        143                53    13.76              24          24                19         275004          496058              0           1993460     0.20 
  katomic_47.in        11               1        121                60     5.24              29          29                27          57537          154922              0           1200627     0.14 
  katomic_48.in        17               1        169                79   647.06               0          58                54       46277174       270746391           3688        1133290114   222.62 
  katomic_49.in        18               1        143                71  1126.64               0          47                42       76785588       300423779           2383        1761071692   326.23 
  katomic_50.in        17               2        121                61  3600.55               0          43                36      316270807       318745841            612        6253784271  1084.21 
  katomic_51.in        16               1        169                82  1137.35               0          40                35       95214390       333357002            629        1860671397   342.90 
  katomic_52.in        19               1        169                84  1402.82               0          55                52       87941020       315476476              0        2256082698   436.85 
  katomic_53.in        16               2         63                35  1503.87               0          27                20      103683698       336472815          88460        2296559236   426.00 
  katomic_54.in        16               1        169                81  1084.16               0          37                31       93574729       333755373              0        2034957345   345.54 
  katomic_55.in        15               1        169                83  1487.59               0          49                44      138880862       382979891           1380        2628376583   418.01 
  katomic_56.in        15               1        169                79  2137.37               0          51                45      197825503       445961053            294        4053111894   623.42 
  katomic_57.in         5               3        132                45    13.34              21          21                16         105197          108378              0            590290     0.05 
  katomic_58.in         6               3        121                60    12.28              17          17                13          27527           55714              0            245990     0.02 
  katomic_59.in        16               4        121                49  1530.81               0          28                22      105431476       343672188              0        2967629429   474.86 
  katomic_60.in         7               4        121                54    15.30              19          19                15         119247          171147              0           1131630     0.10 
  katomic_61.in        10               2        117                58  1408.35               0          55                48      275931838       515994562          20061        2588918965   278.70 
  katomic_62.in        12               1        225                96  1495.28               0          52                46      180732715       348206653           1819        2909161070   374.08 
  katomic_63.in        12               2        143                70  1268.53               0          42                33      195816210       438728299           1125        2282546875   291.93 
  katomic_64.in        16               2        195                98   797.98               0          54                50       73774921       305760194            432        1248525913   231.54 
  katomic_65.in        17               1         81                25   602.76              32          32                26       86045181       213605945              0        1007509909   172.92 
  katomic_66.in        11               1        169                78  1514.71               0          33                26      185313756       447990408            309        2900106436   369.81 
  katomic_67.in        12               2        121                54  2179.72               0          33                25      314940968       511273482           6953        3983100956   501.62 
  marbles_01.in         4               2         64                21     8.63              11          11                 7           1077            1332              0              4230     0.00 
  marbles_02.in         5               5         90                38    20.18              15          15                10          62140           73317              9            394772     0.04 
  marbles_03.in         4               5         99                39    43.03              22          22                10         257533          263449            506            612772     0.06 
  marbles_04.in         3              18        100                49   204.57              22          22                 5         127118          127351              0            201322     0.03 
  marbles_05.in         5               2         81                34    16.73              25          25                15         161818          181181              0            517423     0.05 
  marbles_06.in         5               3        120                41     6.48              14          14                12            880            1429              0              5404     0.00 
  marbles_08.in         6               3        100                48    47.05              23          23                12        8329011         9763950              4          35319012     3.77 
  marbles_10.in        16               1         48                20     8.07              24          24                16          26139           43381             23            149595     0.03 
  marbles_11.in         8               1        169                59   222.33              28          28                19       43187004        70117089           3583         282968844    30.75 
  marbles_12.in         6               3         84                40   174.28              28          28                13       50930851        52951259            417         192839043    19.82 
  marbles_13.in         3               3         64                27    30.30              18          18                 6          41643           41940              0             63370     0.01 
  marbles_14.in         6               1        110                27     7.04              22          22                17          33105           38308              0            100711     0.01 
  marbles_15.in        12               1        169                62  3600.55               0          37                31      142754522       166230429             72        1979320102   277.31 
  marbles_20.in        32               1         64                36  3600.48               0          38                28       81803028       119211684          36628         551246118   183.22 
 unitopia_01.in         3              41        128                68    65.47              11          11                 9            603             613              0              3028     0.00 
 unitopia_02.in         4               5        128                62    30.95              22          22                14         109545          117447              0            409240     0.04 
 unitopia_03.in         5              12        128                56    22.09              16          16                14           2713            3402              0             20366     0.00 
 unitopia_04.in         6               5        128                59    10.36              20          20                19          11743           12885              0             99368     0.01 
 unitopia_05.in         6               7        128                68    36.80              20          20                13         471183          693136              0           3599827     0.31 
 unitopia_06.in         9               2        128                61   423.53              31          31                24       76491786       146818793           3259         875739665    91.83 
 unitopia_07.in        10               1        128                60  1731.41               0          36                27      301649718       563636406           6537        3039980369   362.94 
 unitopia_08.in         7               4        128                59    31.07              23          23                17        3058739         4529314              0          26823226     2.46 
 unitopia_09.in        12               2        128                60  1128.42               0          44                39      163372977       403468928          31096        1888498222   244.40 
 unitopia_10.in         8               2        128                57  1997.17               0          41                29      432509335       557578218              0        2795853466   401.33 
