           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_04.in         6               8        121                45    21.00              23          23                15         323754          476726              0           1675107     2.90 
  katomic_05.in         9               2        132                52    49.71              27          27                21        3694818         9768607            454          38300773    19.15 
  katomic_06.in         9               1        144                50   279.12              27          27                15       49381874        82821011           5060         443343360    56.34 
  katomic_07.in        12               8        169                68  1644.31              24          24                18       21863083        65613937           1873         353076151   912.20 
  katomic_08.in         7               1        121                61   283.00              26          26                14       64562175       107277206          19871         420063165    49.04 
  katomic_09.in        10               1        169                81   534.79              33          33                25       71737421       182775858          20161         927600806   126.05 
  katomic_10.in         5               8        169                84    11.69              19          19                16           1969            3471              0             11985     0.02 
  katomic_11.in         8               4        121                71   278.53              23          23                17       10057606        15848519              0         133365817   137.78 
  katomic_12.in        12               8        169                93  3600.46               0          35                28       52923435        55901914           2388         798028401  2031.20 
  katomic_13.in        12               1        169                87  1270.37               0          42                38      132081958       391073597            156        2359483754   325.09 
  katomic_14.in         9               1        169                85  1306.40               0          29                19      228508142       450450487          28448        2221765091   266.20 
  katomic_15.in        15               1        169                87  3600.32               0          36                31      166626664       209313264          32886        3705245742   746.32 
  katomic_16.in        15               1        169                69  1058.03               0          44                39       91341043       326574603          66616        1751349764   311.67 
  katomic_17.in        14               2        143                73  3600.46               0          33                26      105308244       143648519          46960        2319227224  1859.94 
  katomic_18.in        12               4        169                90  3600.25               0          47                44       50970228       220795386          37469         878808355  1124.38 
  katomic_19.in         8               2        195               103  2168.48              32          32                22      180065838       348337530            737        1858881776   869.47 
  katomic_20.in         4              16        169                83    16.81              18          18                13           6409            8596              0             22011     0.09 
  katomic_21.in        16               1        144                32  3268.50               0          27                20      262613121       333546354         131916        4295757465   910.28 
  katomic_22.in        14               4        169                90  3600.49               0          32                26       59296858       112098368            912        1278316425  2110.05 
  katomic_23.in         4              32        169                93    43.50              18          18                 8          43626           50516              0            146702     1.04 
  katomic_24.in        20              10        195               115  3600.48               0          36                33        6837362        22944436             94         251043910   808.52 
  katomic_25.in        10               1        143                73  2506.21               0          37                29      356650005       626945265          14657        4346965927   542.69 
  katomic_26.in         7               3        169                81   332.34              36          36                28       35478634        53473284              0         191997987   137.08 
  katomic_27.in        12               1        169                81  2553.06               0          48                43      252643409       531074746            592        4633138166   677.87 
  katomic_28.in        12               1        169                73  2181.13               0          39                32      263142455       530261046              0        3875620347   526.86 
  katomic_29.in        15               1        169                71   735.33               0          58                55       63561647       306722383            480        1141887541   213.42 
  katomic_30.in        21               1        169                72  1140.35               0          53                50       59662560       263333217            288        1561359663   361.95 
  katomic_31.in         8               2        121                54    90.43              29          29                20        7630403        13896788              0          70118643    31.69 
  katomic_32.in         9               5         81                25    15.36              19          19                15         132429          360562              0           1455650     1.91 
  katomic_33.in        10               4        169                72  3600.34               0          51                43      148451061       261651474         461172        1482985984  1800.84 
  katomic_34.in        13               1        169                96  1467.99               0          38                32      112285744       357945909              4        2545730795   422.87 
  katomic_35.in        10               1         99                47  1160.13               0          35                28      208251140       437253788              0        2105107115   244.67 
  katomic_36.in         3              21        143                52    16.22               9           9                 4            668             958              0              3045     0.01 
  katomic_37.in        24               1        225               134  1301.49               0          56                52       35498236       238618546            652        1507268160   404.22 
  katomic_38.in         9               1        169                89  1366.59               0          35                23      255467159       489089348            892        2419199218   279.56 
  katomic_39.in        17               1        169                77  1497.38               0          49                44      111915118       338156257              0        2656731508   531.76 
  katomic_40.in        16               1        121                61  1680.35               0          59                52      149071383       383915749         187166        2455059366   453.32 
  katomic_41.in        15               4        169                81  3600.47               0          35                30       52857389       166370316          10899        1191957843  1856.92 
  katomic_42.in        12               1        121                51  2939.07               0          35                28      272402140       382818159          10648        3846402856   572.59 
  katomic_43.in        26               1        169                86  2027.42               0          65                63       62129823       256588932              0        2499734720   722.00 
  katomic_44.in        21               1        156                65  1264.10               0          51                47       61448577       258587862              0        1609170008   424.76 
  katomic_45.in        14               1        156                63  1285.31               0          41                37      109508771       352027972              0        2325262564   403.44 
  katomic_46.in         7               3        143                53     9.97              24          24                19         256224          504493              0           1793234     1.19 
  katomic_47.in        11               1        121                60     8.31              29          29                27          88326          166999              0           1879019     0.25 
  katomic_48.in        17               1        169                79  2937.66               0          59                55      191608593       420961169              8        5020813152  1027.96 
  katomic_49.in        18               1        143                71  1062.71               0          47                42       67383561       291174694            441        1530839410   308.29 
  katomic_50.in        17               2        121                61  2866.72               0          43                36       75000577       287898799              0        1366068834  1229.80 
  katomic_51.in        16               1        169                82  1281.16               0          40                35       92188166       330263895           3339        1791390857   397.93 
  katomic_52.in        19               1        169                84  1518.76               0          55                52       81166628       308653719              0        2079173924   461.47 
  katomic_53.in        16               2         63                35  3600.27               0          26                20       72167522        77017055          64531        1772857600  1691.05 
  katomic_54.in        16               1        169                81  2600.16               0          37                31      193025790       443382571              0        4417718198   827.91 
  katomic_55.in        15               1        169                83  2897.92               0          49                43      227793953       476819805              0        4453179415   801.12 
  katomic_56.in        15               1        169                79  2086.40               0          51                45      169847170       414411238            222        3417941132   606.86 
  katomic_57.in         5               3        132                45     9.54              21          21                16          48633           77481              0            253305     0.16 
  katomic_58.in         6               3        121                60    12.99              17          17                14           7293           17893              0             70085     0.04 
  katomic_59.in        16               4        121                49  3600.32               0          27                22       42872695        60763640              0        1280597158  2235.42 
